date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:57:38	162/162	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Oct%202020%2014:57:39%20GMT	http://kgd.gov.kz/sites/all/themes/KGD17/img/callcanter.png	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/img/callcanter.png	(from http://kgd.gov.kz/sites/all/themes/KGD17/css/special.css?qi91hl)
20:57:38	152796/152796	---M--	200	added ('OK')	application/octet-stream	etag:%225d55254b-254dc%22	http://kgd.gov.kz/sites/all/themes/KGD17/fonts/fontawesome-webfont.ttf?v=4.6.3	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/fonts/fontawesome-webfont5b62.ttf	(from http://kgd.gov.kz/sites/all/themes/KGD17/css/font-awesome.css?qi91hl)
20:57:38	162/162	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Oct%202020%2014:57:39%20GMT	http://kgd.gov.kz/sites/all/themes/KGD17/img/callcanter_c3.png	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/img/callcanter_c3.png	(from http://kgd.gov.kz/sites/all/themes/KGD17/css/special.css?qi91hl)
20:57:39	162/162	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Oct%202020%2014:57:40%20GMT	http://kgd.gov.kz/sites/all/themes/KGD17/img/callcanter_c5.png	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/img/callcanter_c5.png	(from http://kgd.gov.kz/sites/all/themes/KGD17/css/special.css?qi91hl)
20:57:39	162/162	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Oct%202020%2014:57:40%20GMT	http://kgd.gov.kz/sites/all/themes/KGD17/img/arrows_white.png	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/img/arrows_white.png	(from http://kgd.gov.kz/sites/all/themes/KGD17/css/special.css?qi91hl)
20:57:39	162/162	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Oct%202020%2014:57:40%20GMT	http://kgd.gov.kz/sites/all/themes/KGD17/img/arrows_blue.png	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/img/arrows_blue.png	(from http://kgd.gov.kz/sites/all/themes/KGD17/css/special.css?qi91hl)
20:57:39	162/162	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Oct%202020%2014:57:40%20GMT	http://kgd.gov.kz/sites/all/themes/KGD17/img/logo_spec_c3.png	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/img/logo_spec_c3.png	(from http://kgd.gov.kz/sites/all/themes/KGD17/css/special.css?qi91hl)
20:57:40	162/162	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Oct%202020%2014:57:40%20GMT	http://kgd.gov.kz/sites/all/themes/KGD17/img/arrows_beige.png	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/img/arrows_beige.png	(from http://kgd.gov.kz/sites/all/themes/KGD17/css/special.css?qi91hl)
20:57:40	162/162	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Oct%202020%2014:57:41%20GMT	http://kgd.gov.kz/sites/all/themes/KGD17/img/logo_spec_c5.png	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/img/logo_spec_c5.png	(from http://kgd.gov.kz/sites/all/themes/KGD17/css/special.css?qi91hl)
20:57:40	162/162	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Oct%202020%2014:57:41%20GMT	http://kgd.gov.kz/sites/all/themes/KGD17/img/arrows_brown.png	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/img/arrows_brown.png	(from http://kgd.gov.kz/sites/all/themes/KGD17/css/special.css?qi91hl)
20:57:41	162/162	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Oct%202020%2014:57:41%20GMT	http://kgd.gov.kz/sites/all/themes/KGD17/images/sort_both.png	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/images/sort_both.png	(from http://kgd.gov.kz/sites/all/themes/KGD17/css/jquery.dataTables.css?qi91hl)
20:57:41	162/162	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Oct%202020%2014:57:42%20GMT	http://kgd.gov.kz/sites/all/themes/KGD17/images/sort_asc.png	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/images/sort_asc.png	(from http://kgd.gov.kz/sites/all/themes/KGD17/css/jquery.dataTables.css?qi91hl)
20:57:41	162/162	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Oct%202020%2014:57:42%20GMT	http://kgd.gov.kz/sites/all/themes/KGD17/images/sort_desc.png	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/images/sort_desc.png	(from http://kgd.gov.kz/sites/all/themes/KGD17/css/jquery.dataTables.css?qi91hl)
20:57:42	162/162	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Oct%202020%2014:57:42%20GMT	http://kgd.gov.kz/sites/all/themes/KGD17/images/sort_asc_disabled.png	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/images/sort_asc_disabled.png	(from http://kgd.gov.kz/sites/all/themes/KGD17/css/jquery.dataTables.css?qi91hl)
20:57:42	162/162	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Oct%202020%2014:57:43%20GMT	http://kgd.gov.kz/sites/all/themes/KGD17/images/sort_desc_disabled.png	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/images/sort_desc_disabled.png	(from http://kgd.gov.kz/sites/all/themes/KGD17/css/jquery.dataTables.css?qi91hl)
20:58:12	175032/175032	---M--	200	added ('OK')	application/font-woff	etag:%225d55254b-2abb8%22	http://kgd.gov.kz/sites/all/themes/KGD17/fonts/unit_slab_offc_pro/UnitSlabOffcProBold.woff	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/fonts/unit_slab_offc_pro/UnitSlabOffcProBold.woff	(from http://kgd.gov.kz/sites/all/themes/KGD17/style.css?qi91hl)
20:58:35	364508/364508	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225d55254b-58fdc%22	http://kgd.gov.kz/sites/all/themes/KGD17/fonts/unit_slab_offc_pro/UnitSlabOffcPro.eot	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/fonts/unit_slab_offc_pro/UnitSlabOffcPro.eot	(from http://kgd.gov.kz/sites/all/themes/KGD17/style.css?qi91hl)
20:58:42	364508/364508	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225d55254b-58fdc%22	http://kgd.gov.kz/sites/all/themes/KGD17/fonts/unit_slab_offc_pro/UnitSlabOffcPro.eot?	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/fonts/unit_slab_offc_pro/UnitSlabOffcProd41d.eot	(from http://kgd.gov.kz/sites/all/themes/KGD17/style.css?qi91hl)
20:58:50	415420/415420	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225d55254b-656bc%22	http://kgd.gov.kz/sites/all/themes/KGD17/fonts/unit_slab_offc_pro/UnitSlabOffcProBold.eot	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/fonts/unit_slab_offc_pro/UnitSlabOffcProBold.eot	(from http://kgd.gov.kz/sites/all/themes/KGD17/style.css?qi91hl)
20:59:15	155368/155368	---M--	200	added ('OK')	application/font-woff	etag:%225d55254b-25ee8%22	http://kgd.gov.kz/sites/all/themes/KGD17/fonts/unit_slab_offc_pro/UnitSlabOffcProItalic.woff	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/fonts/unit_slab_offc_pro/UnitSlabOffcProItalic.woff	(from http://kgd.gov.kz/sites/all/themes/KGD17/style.css?qi91hl)
20:59:19	415168/415168	---M--	200	added ('OK')	application/octet-stream	etag:%225d55254b-655c0%22	http://kgd.gov.kz/sites/all/themes/KGD17/fonts/unit_slab_offc_pro/UnitSlabOffcProBold.ttf	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/fonts/unit_slab_offc_pro/UnitSlabOffcProBold.ttf	(from http://kgd.gov.kz/sites/all/themes/KGD17/style.css?qi91hl)
20:59:42	415420/415420	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225d55254b-656bc%22	http://kgd.gov.kz/sites/all/themes/KGD17/fonts/unit_slab_offc_pro/UnitSlabOffcProBold.eot?	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/fonts/unit_slab_offc_pro/UnitSlabOffcProBoldd41d.eot	(from http://kgd.gov.kz/sites/all/themes/KGD17/style.css?qi91hl)
20:59:44	382324/382324	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225d55254b-5d574%22	http://kgd.gov.kz/sites/all/themes/KGD17/fonts/unit_slab_offc_pro/UnitSlabOffcProItalic.eot	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/fonts/unit_slab_offc_pro/UnitSlabOffcProItalic.eot	(from http://kgd.gov.kz/sites/all/themes/KGD17/style.css?qi91hl)
21:00:14	184788/184788	---M--	200	added ('OK')	application/font-woff	etag:%225d55254b-2d1d4%22	http://kgd.gov.kz/sites/all/themes/KGD17/fonts/unit_slab_offc_pro/UnitSlabOffcProBoldItalic.woff	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/fonts/unit_slab_offc_pro/UnitSlabOffcProBoldItalic.woff	(from http://kgd.gov.kz/sites/all/themes/KGD17/style.css?qi91hl)
21:00:17	382324/382324	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225d55254b-5d574%22	http://kgd.gov.kz/sites/all/themes/KGD17/fonts/unit_slab_offc_pro/UnitSlabOffcProItalic.eot?	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/fonts/unit_slab_offc_pro/UnitSlabOffcProItalicd41d.eot	(from http://kgd.gov.kz/sites/all/themes/KGD17/style.css?qi91hl)
21:00:20	382064/382064	---M--	200	added ('OK')	application/octet-stream	etag:%225d55254b-5d470%22	http://kgd.gov.kz/sites/all/themes/KGD17/fonts/unit_slab_offc_pro/UnitSlabOffcProItalic.ttf	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/fonts/unit_slab_offc_pro/UnitSlabOffcProItalic.ttf	(from http://kgd.gov.kz/sites/all/themes/KGD17/style.css?qi91hl)
21:00:33	74768/74768	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225d55254b-12410%22	http://kgd.gov.kz/sites/all/themes/KGD17/fonts/FiraSans-Light.eot	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/fonts/FiraSans-Light.eot	(from http://kgd.gov.kz/sites/all/themes/KGD17/style.css?qi91hl)
21:00:46	74544/74544	---M--	200	added ('OK')	application/octet-stream	etag:%225d55254b-12330%22	http://kgd.gov.kz/sites/all/themes/KGD17/fonts/FiraSans-Light.ttf	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/fonts/FiraSans-Light.ttf	(from http://kgd.gov.kz/sites/all/themes/KGD17/style.css?qi91hl)
21:00:52	435828/435828	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225d55254b-6a674%22	http://kgd.gov.kz/sites/all/themes/KGD17/fonts/unit_slab_offc_pro/UnitSlabOffcProBoldItalic.eot	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/fonts/unit_slab_offc_pro/UnitSlabOffcProBoldItalic.eot	(from http://kgd.gov.kz/sites/all/themes/KGD17/style.css?qi91hl)
